Order ID,Order Date,Ship Date,Product ID,Product,Sub-Category,Category,Customer ID,Customer Name,Country/Region,State,City,Postal Code,Coupon Code,Experience Rating,Price After Discount,Quantity
VFC202400040,2024/04/14,2024/04/23,MA03,Body Builder Tee (Unisex),Apparel,Merchandise,21-845-9264,Willi Glandfield,United States,Pennsylvania,Philadelphia,19143,,4,25.00,5.00
VFC202400040,2024/04/14,,DE03,Resistance Training Exercise Routines for Women,eBook,Digital,21-845-9264,Willi Glandfield,United States,Pennsylvania,Philadelphia,19143,,4,8.00,1.00
VFC202400040,2024/04/14,2024/04/23,MG02,The VFC Water Bottle,Gear,Merchandise,21-845-9264,Willi Glandfield,United States,Pennsylvania,Philadelphia,19143,,4,10.00,7.00
VFC202400040,2024/04/14,,CT01,Virtual Fitness Coach,Consulting,Digital,21-845-9264,Willi Glandfield,United States,Pennsylvania,Philadelphia,19143,,4,30.00,1.00
VFC202400041,2024/04/21,2024/04/25,MA02,Body Builder Tee (Women),Apparel,Merchandise,56-006-8362,Minnnie Lenard,United States,Texas,Houston,77036,,,25.00,1.00
VFC202400042,2024/04/23,2024/04/29,MA03,Body Builder Tee (Unisex),Apparel,Merchandise,06-847-0905,Gabbi Feye,United States,New York,New York City,10024,,5,25.00,1.00
VFC202400043,2024/04/23,2024/04/25,MG02,The VFC Water Bottle,Gear,Merchandise,91-107-5868,Frayda MacCall,United States,California,Pasadena,91104,,,10.00,7.00
VFC202400044,2024/04/23,,DE01,How to Kickstart Your Metabolism,eBook,Digital,73-583-3162,Garry Harmston,United States,Tennessee,Clarksville,37042,,4,8.00,1.00
VFC202400045,2024/04/24,2024/04/27,MA02,Body Builder Tee (Women),Apparel,Merchandise,37-689-4109,Marnie Pannaman,United States,Pennsylvania,Philadelphia,19143,,5,25.00,1.00
VFC202400045,2024/04/24,2024/04/27,MG02,The VFC Water Bottle,Gear,Merchandise,37-689-4109,Marnie Pannaman,United States,Pennsylvania,Philadelphia,19143,,5,10.00,3.00
VFC202400046,2024/04/25,,DE04,Resistance Training Exercise Routines for Men,eBook,Digital,71-012-6258,Paolo Schrader,United States,California,Los Angeles,90008,,5,8.00,1.00
VFC202400047,2024/04/28,2024/05/02,MA06,Dumbell Tee (Unisex),Apparel,Merchandise,15-655-8257,Tye Jayne,United States,North Carolina,Wilmington,28403,,5,25.00,4.00
VFC202400048,2024/05/01,,DE02,5-Minute Keto Recipes,eBook,Digital,67-478-6756,Niall Shuttleworth,United States,Florida,Coral Springs,33065,,5,8.00,1.00
VFC202400049,2024/05/04,2024/05/09,MA02,Body Builder Tee (Women),Apparel,Merchandise,32-204-1267,Atlante Risso,United States,California,Westminster,92683,,4,25.00,1.00
VFC202400050,2024/05/04,2024/05/10,MG01,The VFC Gym Towel,Gear,Merchandise,25-662-6907,Daffy Frigot,United States,Pennsylvania,Philadelphia,19140,VFC5,5,19.00,4.00
VFC202400051,2024/05/05,,DE01,How to Kickstart Your Metabolism,eBook,Digital,06-317-7353,Brynn Guiot,United States,Colorado,Louisville,80027,,,8.00,1.00
VFC202400052,2024/05/06,2024/05/09,MA06,Dumbell Tee (Unisex),Apparel,Merchandise,85-185-1084,Judah Lippini,United States,California,Rancho Cucamonga,91730,,5,25.00,1.00
VFC202400053,2024/05/07,,DE01,How to Kickstart Your Metabolism,eBook,Digital,54-363-3598,Cecil Gussie,United States,Texas,Dallas,75217,VFC5,,7.60,1.00
VFC202400054,2024/05/07,,CQ01,Virtual Q&A,Consulting,Digital,23-543-8964,Willem Allison,United States,Michigan,Detroit,48234,,5,20.00,1.00
VFC202400055,2024/05/07,2024/05/11,MA06,Dumbell Tee (Unisex),Apparel,Merchandise,87-740-8829,Billie Keattch,United States,Michigan,Detroit,48234,VFC5,4,23.75,3.00
VFC202400056,2024/05/08,,CT01,Virtual Fitness Coach,Consulting,Digital,37-148-4306,Stanfield Oxtaby,United States,Ohio,Columbus,43229,VFC10,5,24.00,1.00
VFC202400057,2024/05/08,,CT01,Virtual Fitness Coach,Consulting,Digital,54-779-7076,Mallorie Sermin,United States,Pennsylvania,Philadelphia,19140,VFC5,4,28.50,1.00
VFC202400058,2024/05/11,,DE01,How to Kickstart Your Metabolism,eBook,Digital,55-503-3293,Jarrad Normansell,United States,Arizona,Phoenix,85023,,4,8.00,1.00
VFC202400058,2024/05/11,,CQ01,Virtual Q&A,Consulting,Digital,55-503-3293,Jarrad Normansell,United States,Arizona,Phoenix,85023,,4,20.00,1.00
VFC202400059,2024/05/15,,MA02,Body Builder Tee (Women),Apparel,Merchandise,36-570-3192,Joanne Shillam,United States,Washington,Seattle,98103,VFC50,,10.00,1.00
VFC202400060,2024/05/15,,MA04,Gym Stud Tee (Men),Apparel,Merchandise,26-199-7334,Aline Arstall,United States,Washington,Seattle,98103,VFC50,5,15.00,1.00
VFC202400061,2024/05/15,,DE04,Resistance Training Exercise Routines for Men,eBook,Digital,67-819-2571,Concordia Iveans,United States,North Carolina,Fayetteville,28314,VFC50,4,4.00,1.00
VFC202400062,2024/05/15,2024/05/16,MA02,Body Builder Tee (Women),Apparel,Merchandise,54-199-0952,Gauthier Ezzle,United States,California,Fresno,93727,VFC50,,12.50,5.00
VFC202400063,2024/05/15,2024/05/16,MA05,Gym Babe Tee (Women),Apparel,Merchandise,16-367-9291,Thedric Whiffen,United States,California,Fresno,93727,VFC50,4,5.00,1.00
VFC202400064,2024/05/18,2024/05/22,MA03,Body Builder Tee (Unisex),Apparel,Merchandise,24-388-3010,Agnese Parr,United States,Missouri,Springfield,65807,,5,25.00,8.00
VFC202400065,2024/05/18,2024/05/23,MG01,The VFC Gym Towel,Gear,Merchandise,72-724-4583,Iormina Ruusa,United States,New York,New York City,10024,,,20.00,2.00
VFC202400066,2024/05/18,,DE03,Resistance Training Exercise Routines for Women,eBook,Digital,32-073-8879,Tiphany Fishleigh,United States,Georgia,Sandy Springs,30328,,5,8.00,1.00
VFC202400067,2024/05/18,2024/05/19,MA02,Body Builder Tee (Women),Apparel,Merchandise,21-703-8483,Corrina Olliver,United States,Georgia,Sandy Springs,30328,VFC15,4,21.25,3.00
VFC202400068,2024/05/19,,DE01,How to Kickstart Your Metabolism,eBook,Digital,66-479-8815,Farlee Scanderet,United States,Georgia,Atlanta,30318,,4,8.00,1.00
VFC202400069,2024/05/19,2024/05/23,MA06,Dumbell Tee (Unisex),Apparel,Merchandise,30-256-6688,Gerti Salzburg,United States,Washington,Seattle,98115,,,25.00,3.00
VFC202400070,2024/05/19,2024/05/24,MA06,Dumbell Tee (Unisex),Apparel,Merchandise,92-775-6227,Grantley Di Maria,United States,New York,Mount Vernon,10550,,,25.00,1.00
VFC202400071,2024/05/23,2024/05/27,MA01,Body Builder Tee (Men),Apparel,Merchandise,81-137-1939,Jacqueline Lantiff,United States,Texas,Houston,77095,VFC5,4,23.75,6.00
VFC202400072,2024/05/26,2024/05/29,MA04,Gym Stud Tee (Men),Apparel,Merchandise,78-857-5605,Tiffani Kirwin,United States,Kentucky,Louisville,40214,,5,25.00,1.00
VFC202400073,2024/05/28,2024/05/31,MA06,Dumbell Tee (Unisex),Apparel,Merchandise,00-074-9381,Conrade Peeter,United States,Maryland,Laurel,20707,,5,25.00,4.00
VFC202400073,2024/05/28,,DE04,Resistance Training Exercise Routines for Men,eBook,Digital,00-074-9381,Conrade Peeter,United States,Maryland,Laurel,20707,,5,8.00,1.00
VFC202400073,2024/05/28,2024/05/31,MG02,The VFC Water Bottle,Gear,Merchandise,00-074-9381,Conrade Peeter,United States,Maryland,Laurel,20707,,5,10.00,2.00
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
